fase,item_custo,delta_usd_36m,pct_do_gap
1,compute,-3348.0720,-3.4223
1,bloco,110506.5956,112.9553
1,objeto,-14051.2202,-14.3626
1,egress,6734.9422,6.8842
1,licencas,0.0000,0.0000
1,premio-gerenciado,0.0000,0.0000
1,backup,-2106.2984,-2.1530
1,suporte,0.0000,0.0000
1,rede-ip-balanceador,96.2089,0.0983
1,observabilidade,0.0000,0.0000
1,ia,0.0000,0.0000
2,compute,8767.5690,2.5997
2,bloco,268775.4846,79.6945
2,objeto,-14051.2202,-4.1663
2,egress,6734.9422,1.9970
2,licencas,0.0000,0.0000
2,premio-gerenciado,64653.7853,19.1705
2,backup,2186.5587,0.6483
2,suporte,0.0000,0.0000
2,rede-ip-balanceador,318.3800,0.0944
2,observabilidade,0.0000,0.0000
2,ia,-128.1600,-0.0380
