servidor,fase,nuvem,papel,sku,vcpu,ram,instancias,usd_mes,arquivo_fonte
banco-1,1,ibm,compute,bxf-4x16,4,16,2,388.3600,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
banco-1,1,ibm,bloco,gen2-volume-10iops-tier,,,2,796.0373,data/precos/api/ibm-is.volume-gen2-volume-10iops-tier-br-sao-2026-08-13.json
banco-2,1,ibm,compute,bxf-8x32,8,32,1,388.3600,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
banco-2,1,ibm,bloco,gen2-volume-general-purpose,,,1,124.0509,data/precos/api/ibm-is.volume-gen2-volume-general-purpose-br-sao-2026-08-13.json
banco-3,1,ibm,compute,bxf-8x32,8,32,1,388.3600,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
banco-3,1,ibm,bloco,gen2-volume-general-purpose,,,1,84.8004,data/precos/api/ibm-is.volume-gen2-volume-general-purpose-br-sao-2026-08-13.json
banco-4,1,ibm,compute,bxf-4x16,4,16,1,194.1800,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
banco-4,1,ibm,bloco,gen2-volume-10iops-tier,,,1,815.1422,data/precos/api/ibm-is.volume-gen2-volume-10iops-tier-br-sao-2026-08-13.json
banco-5,1,ibm,compute,bxf-8x32,,,1,388.3600,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
banco-5,1,ibm,bloco,gen2-volume-10iops-tier,,,1,1630.2843,data/precos/api/ibm-is.volume-gen2-volume-10iops-tier-br-sao-2026-08-13.json
banco-6,1,ibm,compute,bxf-2x8,2,8,1,97.0900,data/precos/api/ibm-is.instance-bxf-2x8-br-sao-2026-08-13.json
banco-6,1,ibm,bloco,gen2-volume-general-purpose,,,1,12.1144,data/precos/api/ibm-is.volume-gen2-volume-general-purpose-br-sao-2026-08-13.json
app-1,1,ibm,compute,cxf-4x8,4,8,2,343.1000,data/precos/api/ibm-is.instance-cxf-4x8-br-sao-2026-08-13.json
app-1,1,ibm,bloco,gen2-volume-general-purpose,,,2,60.5717,data/precos/api/ibm-is.volume-gen2-volume-general-purpose-br-sao-2026-08-13.json
app-2,1,ibm,compute,cxf-2x4,2,4,2,170.8200,data/precos/api/ibm-is.instance-cxf-2x4-br-sao-2026-08-13.json
