rho,cv_servico,espera_media_ms,resposta_media_ms,resposta_p95_ms
0.0100,1.0000,0.2525,25.2525,75.6498
0.0100,1.2000,0.3081,25.3081,75.8162
0.0100,1.5000,0.4104,25.4104,76.1226
0.0100,2.0000,0.6313,25.6313,76.7846
0.0200,1.0000,0.5102,25.5102,76.4217
0.0200,1.2000,0.6224,25.6224,76.7580
0.0200,1.5000,0.8291,25.8291,77.3770
0.0200,2.0000,1.2755,26.2755,78.7144
0.0300,1.0000,0.7732,25.7732,77.2096
0.0300,1.2000,0.9433,25.9433,77.7192
0.0300,1.5000,1.2564,26.2564,78.6573
0.0300,2.0000,1.9330,26.9330,80.6840
0.0400,1.0000,1.0417,26.0417,78.0139
0.0400,1.2000,1.2708,26.2708,78.7004
0.0400,1.5000,1.6927,26.6927,79.9642
0.0400,2.0000,2.6042,27.6042,82.6947
0.0500,1.0000,1.3158,26.3158,78.8351
0.0500,1.2000,1.6053,26.6053,79.7022
0.0500,1.5000,2.1382,27.1382,81.2987
0.0500,2.0000,3.2895,28.2895,84.7477
0.0600,1.0000,1.5957,26.5957,79.6737
0.0600,1.2000,1.9468,26.9468,80.7254
0.0600,1.5000,2.5931,27.5931,82.6615
0.0600,2.0000,3.9894,28.9894,86.8444
0.0700,1.0000,1.8817,26.8817,80.5304
0.0700,1.2000,2.2957,27.2957,81.7706
0.0700,1.5000,3.0578,28.0578,84.0536
0.0700,2.0000,4.7043,29.7043,88.9861
0.0800,1.0000,2.1739,27.1739,81.4058
0.0800,1.2000,2.6522,27.6522,82.8385
0.0800,1.5000,3.5326,28.5326,85.4761
0.0800,2.0000,5.4348,30.4348,91.1745
0.0900,1.0000,2.4725,27.4725,82.3003
0.0900,1.2000,3.0165,28.0165,83.9299
0.0900,1.5000,4.0179,29.0179,86.9297
0.0900,2.0000,6.1813,31.1813,93.4109
0.1000,1.0000,2.7778,27.7778,83.2148
0.1000,1.2000,3.3889,28.3889,85.0455
0.1000,1.5000,4.5139,29.5139,88.4157
0.1000,2.0000,6.9444,31.9444,95.6970
0.1100,1.0000,3.0899,28.0899,84.1498
0.1100,1.2000,3.7697,28.7697,86.1862
0.1100,1.5000,5.0211,30.0211,89.9351
0.1100,2.0000,7.7247,32.7247,98.0345
0.1200,1.0000,3.4091,28.4091,85.1060
0.1200,1.2000,4.1591,29.1591,87.3528
0.1200,1.5000,5.5398,30.5398,91.4890
0.1200,2.0000,8.5227,33.5227,100.4251
0.1300,1.0000,3.7356,28.7356,86.0843
0.1300,1.2000,4.5575,29.5575,88.5463
0.1300,1.5000,6.0704,31.0704,93.0786
0.1300,2.0000,9.3391,34.3391,102.8707
0.1400,1.0000,4.0698,29.0698,87.0852
0.1400,1.2000,4.9651,29.9651,89.7675
0.1400,1.5000,6.6134,31.6134,94.7052
0.1400,2.0000,10.1744,35.1744,105.3731
0.1500,1.0000,4.4118,29.4118,88.1098
0.1500,1.2000,5.3824,30.3824,91.0174
0.1500,1.5000,7.1691,32.1691,96.3701
0.1500,2.0000,11.0294,36.0294,107.9345
0.1600,1.0000,4.7619,29.7619,89.1587
0.1600,1.2000,5.8095,30.8095,92.2971
0.1600,1.5000,7.7381,32.7381,98.0746
0.1600,2.0000,11.9048,36.9048,110.5568
0.1700,1.0000,5.1205,30.1205,90.2329
0.1700,1.2000,6.2470,31.2470,93.6076
0.1700,1.5000,8.3208,33.3208,99.8201
0.1700,2.0000,12.8012,37.8012,113.2423
0.1800,1.0000,5.4878,30.4878,91.3333
0.1800,1.2000,6.6951,31.6951,94.9501
0.1800,1.5000,8.9177,33.9177,101.6083
0.1800,2.0000,13.7195,38.7195,115.9933
0.1900,1.0000,5.8642,30.8642,92.4609
0.1900,1.2000,7.1543,32.1543,96.3257
0.1900,1.5000,9.5293,34.5293,103.4406
0.1900,2.0000,14.6605,39.6605,118.8122
0.2000,1.0000,6.2500,31.2500,93.6166
0.2000,1.2000,7.6250,32.6250,97.7358
0.2000,1.5000,10.1562,35.1562,105.3187
0.2000,2.0000,15.6250,40.6250,121.7016
0.2100,1.0000,6.6456,31.6456,94.8017
0.2100,1.2000,8.1076,33.1076,99.1815
0.2100,1.5000,10.7991,35.7991,107.2444
0.2100,2.0000,16.6139,41.6139,124.6642
0.2200,1.0000,7.0513,32.0513,96.0171
0.2200,1.2000,8.6026,33.6026,100.6643
0.2200,1.5000,11.4583,36.4583,109.2194
0.2200,2.0000,17.6282,42.6282,127.7027
0.2300,1.0000,7.4675,32.4675,97.2640
0.2300,1.2000,9.1104,34.1104,102.1856
0.2300,1.5000,12.1347,37.1347,111.2457
0.2300,2.0000,18.6688,43.6688,130.8201
0.2400,1.0000,7.8947,32.8947,98.5438
0.2400,1.2000,9.6316,34.6316,103.7469
0.2400,1.5000,12.8289,37.8289,113.3254
0.2400,2.0000,19.7368,44.7368,134.0196
0.2500,1.0000,8.3333,33.3333,99.8577
0.2500,1.2000,10.1667,35.1667,105.3499
0.2500,1.5000,13.5417,38.5417,115.4605
0.2500,2.0000,20.8333,45.8333,137.3044
0.2600,1.0000,8.7838,33.7838,101.2072
0.2600,1.2000,10.7162,35.7162,106.9962
0.2600,1.5000,14.2736,39.2736,117.6533
0.2600,2.0000,21.9595,46.9595,140.6780
0.2700,1.0000,9.2466,34.2466,102.5936
0.2700,1.2000,11.2808,36.2808,108.6876
0.2700,1.5000,15.0257,40.0257,119.9062
0.2700,2.0000,23.1164,48.1164,144.1440
0.2800,1.0000,9.7222,34.7222,104.0185
0.2800,1.2000,11.8611,36.8611,110.4260
0.2800,1.5000,15.7986,40.7986,122.2217
0.2800,2.0000,24.3056,49.3056,147.7062
0.2900,1.0000,10.2113,35.2113,105.4835
0.2900,1.2000,12.4577,37.4577,112.2134
0.2900,1.5000,16.5933,41.5933,124.6024
0.2900,2.0000,25.5282,50.5282,151.3689
0.3000,1.0000,10.7143,35.7143,106.9904
0.3000,1.2000,13.0714,38.0714,114.0518
0.3000,1.5000,17.4107,42.4107,127.0511
0.3000,2.0000,26.7857,51.7857,155.1361
0.3100,1.0000,11.2319,36.2319,108.5410
0.3100,1.2000,13.7029,38.7029,115.9435
0.3100,1.5000,18.2518,43.2518,129.5708
0.3100,2.0000,28.0797,53.0797,159.0126
0.3200,1.0000,11.7647,36.7647,110.1372
0.3200,1.2000,14.3529,39.3529,117.8909
0.3200,1.5000,19.1176,44.1176,132.1647
0.3200,2.0000,29.4118,54.4118,163.0031
0.3300,1.0000,12.3134,37.3134,111.7811
0.3300,1.2000,15.0224,40.0224,119.8964
0.3300,1.5000,20.0093,45.0093,134.8359
0.3300,2.0000,30.7836,55.7836,167.1127
0.3400,1.0000,12.8788,37.8788,113.4747
0.3400,1.2000,15.7121,40.7121,121.9626
0.3400,1.5000,20.9280,45.9280,137.5881
0.3400,2.0000,32.1970,57.1970,171.3468
0.3500,1.0000,13.4615,38.4615,115.2205
0.3500,1.2000,16.4231,41.4231,124.0924
0.3500,1.5000,21.8750,46.8750,140.4250
0.3500,2.0000,33.6538,58.6538,175.7112
0.3600,1.0000,14.0625,39.0625,117.0208
0.3600,1.2000,17.1562,42.1563,126.2888
0.3600,1.5000,22.8516,47.8516,143.3505
0.3600,2.0000,35.1562,60.1562,180.2120
0.3700,1.0000,14.6825,39.6825,118.8783
0.3700,1.2000,17.9127,42.9127,128.5550
0.3700,1.5000,23.8591,48.8591,146.3689
0.3700,2.0000,36.7063,61.7063,184.8557
0.3800,1.0000,15.3226,40.3226,120.7957
0.3800,1.2000,18.6935,43.6935,130.8942
0.3800,1.5000,24.8992,49.8992,149.4846
0.3800,2.0000,38.3065,63.3065,189.6492
0.3900,1.0000,15.9836,40.9836,122.7759
0.3900,1.2000,19.5000,44.5000,133.3101
0.3900,1.5000,25.9734,50.9734,152.7025
0.3900,2.0000,39.9590,64.9590,194.5998
0.4000,1.0000,16.6667,41.6667,124.8222
0.4000,1.2000,20.3333,45.3333,135.8065
0.4000,1.5000,27.0833,52.0833,156.0277
0.4000,2.0000,41.6667,66.6667,199.7155
0.4100,1.0000,17.3729,42.3729,126.9378
0.4100,1.2000,21.1949,46.1949,138.3876
0.4100,1.5000,28.2309,53.2309,159.4656
0.4100,2.0000,43.4322,68.4322,205.0046
0.4200,1.0000,18.1034,43.1034,129.1264
0.4200,1.2000,22.0862,47.0862,141.0577
0.4200,1.5000,29.4181,54.4181,163.0221
0.4200,2.0000,45.2586,70.2586,210.4760
0.4300,1.0000,18.8596,43.8596,131.3918
0.4300,1.2000,23.0088,48.0088,143.8214
0.4300,1.5000,30.6469,55.6469,166.7033
0.4300,2.0000,47.1491,72.1491,216.1395
0.4400,1.0000,19.6429,44.6429,133.7380
0.4400,1.2000,23.9643,48.9643,146.6839
0.4400,1.5000,31.9196,56.9196,170.5160
0.4400,2.0000,49.1071,74.1071,222.0052
0.4500,1.0000,20.4545,45.4545,136.1696
0.4500,1.2000,24.9545,49.9545,149.6504
0.4500,1.5000,33.2386,58.2386,174.4674
0.4500,2.0000,51.1364,76.1364,228.0842
0.4600,1.0000,21.2963,46.2963,138.6913
0.4600,1.2000,25.9815,50.9815,152.7269
0.4600,1.5000,34.6065,59.6065,178.5651
0.4600,2.0000,53.2407,78.2407,234.3883
0.4700,1.0000,22.1698,47.1698,141.3081
0.4700,1.2000,27.0472,52.0472,155.9194
0.4700,1.5000,36.0259,61.0259,182.8174
0.4700,2.0000,55.4245,80.4245,240.9304
0.4800,1.0000,23.0769,48.0769,144.0256
0.4800,1.2000,28.1538,53.1538,159.2347
0.4800,1.5000,37.5000,62.5000,187.2333
0.4800,2.0000,57.6923,82.6923,247.7240
0.4900,1.0000,24.0196,49.0196,146.8496
0.4900,1.2000,29.3039,54.3039,162.6800
0.4900,1.5000,39.0319,64.0319,191.8223
0.4900,2.0000,60.0490,85.0490,254.7841
0.5000,1.0000,25.0000,50.0000,149.7866
0.5000,1.2000,30.5000,55.5000,166.2631
0.5000,1.5000,40.6250,65.6250,196.5949
0.5000,2.0000,62.5000,87.5000,262.1266
0.5100,1.0000,26.0204,51.0204,152.8435
0.5100,1.2000,31.7449,56.7449,169.9925
0.5100,1.5000,42.2832,67.2832,201.5623
0.5100,2.0000,65.0510,90.0510,269.7687
0.5200,1.0000,27.0833,52.0833,156.0277
0.5200,1.2000,33.0417,58.0417,173.8773
0.5200,1.5000,44.0104,69.0104,206.7367
0.5200,2.0000,67.7083,92.7083,277.7293
0.5300,1.0000,28.1915,53.1915,159.3475
0.5300,1.2000,34.3936,59.3936,177.9274
0.5300,1.5000,45.8112,70.8112,212.1313
0.5300,2.0000,70.4787,95.4787,286.0287
0.5400,1.0000,29.3478,54.3478,162.8115
0.5400,1.2000,35.8043,60.8043,182.1535
0.5400,1.5000,47.6902,72.6902,217.7604
0.5400,2.0000,73.3696,98.3696,294.6889
0.5500,1.0000,30.5556,55.5556,166.4296
0.5500,1.2000,37.2778,62.2778,186.5675
0.5500,1.5000,49.6528,74.6528,223.6397
0.5500,2.0000,76.3889,101.3889,303.7340
0.5600,1.0000,31.8182,56.8182,170.2121
0.5600,1.2000,38.8182,63.8182,191.1822
0.5600,1.5000,51.7045,76.7045,229.7863
0.5600,2.0000,79.5455,104.5455,313.1902
0.5700,1.0000,33.1395,58.1395,174.1705
0.5700,1.2000,40.4302,65.4302,196.0115
0.5700,1.5000,53.8517,78.8517,236.2187
0.5700,2.0000,82.8488,107.8488,323.0862
0.5800,1.0000,34.5238,59.5238,178.3174
0.5800,1.2000,42.1190,67.1190,201.0707
0.5800,1.5000,56.1012,81.1012,242.9575
0.5800,2.0000,86.3095,111.3095,333.4535
0.5900,1.0000,35.9756,60.9756,182.6666
0.5900,1.2000,43.8902,68.8902,206.3767
0.5900,1.5000,58.4604,83.4604,250.0249
0.5900,2.0000,89.9390,114.9390,344.3265
0.6000,1.0000,37.5000,62.5000,187.2333
0.6000,1.2000,45.7500,70.7500,211.9481
0.6000,1.5000,60.9375,85.9375,257.4457
0.6000,2.0000,93.7500,118.7500,355.7432
0.6100,1.0000,39.1026,64.1026,192.0341
0.6100,1.2000,47.7051,72.7051,217.8051
0.6100,1.5000,63.5417,88.5417,265.2471
0.6100,2.0000,97.7564,122.7564,367.7453
0.6200,1.0000,40.7895,65.7895,197.0876
0.6200,1.2000,49.7632,74.7632,223.9704
0.6200,1.5000,66.2829,91.2829,273.4591
0.6200,2.0000,101.9737,126.9737,380.3792
0.6300,1.0000,42.5676,67.5676,202.4143
0.6300,1.2000,51.9324,76.9324,230.4690
0.6300,1.5000,69.1723,94.1723,282.1150
0.6300,2.0000,106.4189,131.4189,393.6959
0.6400,1.0000,44.4444,69.4444,208.0370
0.6400,1.2000,54.2222,79.2222,237.3286
0.6400,1.5000,72.2222,97.2222,291.2517
0.6400,2.0000,111.1111,136.1111,407.7524
0.6500,1.0000,46.4286,71.4286,213.9809
0.6500,1.2000,56.6429,81.6429,244.5801
0.6500,1.5000,75.4464,100.4464,300.9106
0.6500,2.0000,116.0714,141.0714,422.6122
0.6600,1.0000,48.5294,73.5294,220.2744
0.6600,1.2000,59.2059,84.2059,252.2583
0.6600,1.5000,78.8603,103.8603,311.1376
0.6600,2.0000,121.3235,146.3235,438.3461
0.6700,1.0000,50.7576,75.7576,226.9494
0.6700,1.2000,61.9242,86.9242,260.4018
0.6700,1.5000,82.4811,107.4811,321.9845
0.6700,2.0000,126.8939,151.8939,455.0336
0.6800,1.0000,53.1250,78.1250,234.0416
0.6800,1.2000,64.8125,89.8125,269.0542
0.6800,1.5000,86.3281,111.3281,333.5093
0.6800,2.0000,132.8125,157.8125,472.7640
0.6900,1.0000,55.6452,80.6452,241.5913
0.6900,1.2000,67.8871,92.8871,278.2649
0.6900,1.5000,90.4234,115.4234,345.7776
0.6900,2.0000,139.1129,164.1129,491.6383
0.7000,1.0000,58.3333,83.3333,249.6444
0.7000,1.2000,71.1667,96.1667,288.0896
0.7000,1.5000,94.7917,119.7917,358.8638
0.7000,2.0000,145.8333,170.8333,511.7709
0.7100,1.0000,61.2069,86.2069,258.2528
0.7100,1.2000,74.6724,99.6724,298.5919
0.7100,1.5000,99.4612,124.4612,372.8525
0.7100,2.0000,153.0172,178.0172,533.2920
0.7200,1.0000,64.2857,89.2857,267.4761
0.7200,1.2000,78.4286,103.4286,309.8443
0.7200,1.5000,104.4643,129.4643,387.8403
0.7200,2.0000,160.7143,185.7143,556.3503
0.7300,1.0000,67.5926,92.5926,277.3826
0.7300,1.2000,82.4630,107.4630,321.9303
0.7300,1.5000,109.8380,134.8380,403.9384
0.7300,2.0000,168.9815,193.9815,581.1166
0.7400,1.0000,71.1538,96.1538,288.0512
0.7400,1.2000,86.8077,111.8077,334.9459
0.7400,1.5000,115.6250,140.6250,421.2749
0.7400,2.0000,177.8846,202.8846,607.7880
0.7500,1.0000,75.0000,100.0000,299.5732
0.7500,1.2000,91.5000,116.5000,349.0028
0.7500,1.5000,121.8750,146.8750,439.9982
0.7500,2.0000,187.5000,212.5000,636.5931
0.7600,1.0000,79.1667,104.1667,312.0554
0.7600,1.2000,96.5833,121.5833,364.2311
