fase,multiplicador,tco_ibm_36m,tco_aws_36m,delta_usd,delta_pct_sobre_menor,vencedor
1,1.0000,384802.1927,286970.0366,97832.1561,34.0914,aws
1,1.2500,411187.3127,313838.7086,97348.6041,31.0187,aws
1,1.5000,411187.3127,313838.7086,97348.6041,31.0187,aws
1,1.7500,411187.3127,313838.7086,97348.6041,31.0187,aws
1,2.0000,411187.3127,313838.7086,97348.6041,31.0187,aws
1,2.5000,463799.8727,367576.0526,96223.8201,26.1779,aws
1,3.0000,463799.8727,367576.0526,96223.8201,26.1779,aws
2,1.0000,429733.1319,349419.2658,80313.8660,22.9850,aws
2,1.2500,440692.7343,380939.4978,59753.2364,15.6858,aws
2,1.5000,440692.7343,380939.4978,59753.2364,15.6858,aws
2,1.7500,440692.7343,380939.4978,59753.2364,15.6858,aws
2,2.0000,440692.7343,380939.4978,59753.2364,15.6858,aws
2,2.5000,478061.4255,443979.9618,34081.4636,7.6764,aws
2,3.0000,478061.4255,443979.9618,34081.4636,7.6764,aws
