configuracao,nuvem,fase,metodo,multiplicador,total_36m_usd
C1,ibm,1,iso-especificacao,1.0000,384802.1927
C2,aws,1,iso-especificacao,1.0000,286970.0366
C3,ibm,2,iso-especificacao,1.0000,429733.1319
C4,aws,2,iso-especificacao,1.0000,349419.2658
C1,ibm,1,iso-sla,1.2500,411187.3127
C2,aws,1,iso-sla,1.2500,313838.7086
C1,ibm,1,iso-sla,1.5000,411187.3127
C2,aws,1,iso-sla,1.5000,313838.7086
C1,ibm,1,iso-sla,1.7500,411187.3127
C2,aws,1,iso-sla,1.7500,313838.7086
C1,ibm,1,iso-sla,2.0000,411187.3127
C2,aws,1,iso-sla,2.0000,313838.7086
C1,ibm,1,iso-sla,2.5000,463799.8727
C2,aws,1,iso-sla,2.5000,367576.0526
C1,ibm,1,iso-sla,3.0000,463799.8727
C2,aws,1,iso-sla,3.0000,367576.0526
C3,ibm,2,iso-sla,1.2500,440692.7343
C4,aws,2,iso-sla,1.2500,380939.4978
C3,ibm,2,iso-sla,1.5000,440692.7343
C4,aws,2,iso-sla,1.5000,380939.4978
C3,ibm,2,iso-sla,1.7500,440692.7343
C4,aws,2,iso-sla,1.7500,380939.4978
C3,ibm,2,iso-sla,2.0000,440692.7343
C4,aws,2,iso-sla,2.0000,380939.4978
C3,ibm,2,iso-sla,2.5000,478061.4255
C4,aws,2,iso-sla,2.5000,443979.9618
C3,ibm,2,iso-sla,3.0000,478061.4255
C4,aws,2,iso-sla,3.0000,443979.9618
