fase,multiplicador,nuvem,delta_pct_entre_metodos,ranking_identico
1,1.2500,ibm,6.8568,True
1,1.2500,aws,9.3629,True
1,1.5000,ibm,6.8568,True
1,1.5000,aws,9.3629,True
1,1.7500,ibm,6.8568,True
1,1.7500,aws,9.3629,True
1,2.0000,ibm,6.8568,True
1,2.0000,aws,9.3629,True
1,2.5000,ibm,20.5294,False
1,2.5000,aws,28.0887,True
1,3.0000,ibm,20.5294,False
1,3.0000,aws,28.0887,True
2,1.2500,ibm,4.7881,True
2,1.2500,aws,7.8214,False
2,1.5000,ibm,4.7881,True
2,1.5000,aws,7.8214,False
2,1.7500,ibm,4.7881,True
2,1.7500,aws,7.8214,False
2,2.0000,ibm,4.7881,True
2,2.0000,aws,7.8214,False
2,2.5000,ibm,16.6142,True
2,2.5000,aws,23.4643,False
2,3.0000,ibm,16.6142,True
2,3.0000,aws,23.4643,False
